node_id,material_id,allow_inventory_flag,safety_stock_quantity,safety_stock_treatment,maximum_storage_quantity,holding_cost_eur_per_unit_week,minimum_meaningful_pool_quantity,terminal_target_quantity
NODE-0001,MAT-0001,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0002,MAT-0002,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0003,MAT-0002,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0004,MAT-0001,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0004,MAT-0003,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0005,MAT-0001,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0005,MAT-0003,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0006,MAT-0002,true,0.0,REPORT_ONLY,20.0,0.0,0.001,
NODE-0006,MAT-0004,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0007,MAT-0002,true,0.0,REPORT_ONLY,10.0,0.0,0.001,
NODE-0007,MAT-0004,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0008,MAT-0002,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0008,MAT-0004,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0009,MAT-0003,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0009,MAT-0004,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0009,MAT-0005,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0010,MAT-0003,true,0.0,REPORT_ONLY,5.0,0.0,0.001,
NODE-0010,MAT-0004,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0010,MAT-0005,false,0.0,REPORT_ONLY,0.0,0.0,0.001,
NODE-0011,MAT-0005,true,0.0,REPORT_ONLY,20.0,0.0,0.001,
NODE-0012,MAT-0005,true,0.0,REPORT_ONLY,15.0,0.0,0.001,
NODE-0013,MAT-0005,true,0.0,REPORT_ONLY,10.0,0.0,0.001,
