node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0035,MAT-0029,92.43,2.4,90.03,349.213787,31439.717244,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0031,130.2,9.22,120.98,353.054383,42712.519255,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0032,104.83,2.54,102.29,270.708873,27690.810619,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0036,MAT-0033,222.44,14.75,207.69,661.136634,137311.467515,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0033,175.56,7.37,168.19,620.911919,104431.175657,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0035,79.96,1.72,78.24,340.266664,26622.463791,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0031,118.05,8.21,109.84,335.9298,36898.529232,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0035,95.34,5.02,90.32,325.168701,29369.237074,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0029,595.32,33.87,561.45,458.459553,257402.116032,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0033,586.73,31.91,554.82,378.020413,209733.285541,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0035,610.88,36.09,574.79,329.437881,189357.59962,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0030,541.73,32.43,509.3,503.233366,256296.753304,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0034,619.33,13.83,605.5,451.36561,273301.876855,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0036,645.27,17.74,627.53,187.838455,117874.265666,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0029,622.85,35.33,587.52,225.516727,132495.587447,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0031,644.5,14.0,630.5,399.770521,252055.31349,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0035,547.17,17.14,530.03,344.825671,182767.9504,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0030,671.73,17.84,653.89,368.667001,241067.665284,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0032,541.78,21.49,520.29,376.270695,195769.879902,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0036,716.07,15.04,701.03,256.437197,179770.168213,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0033,MAT-0031,541.39,16.97,524.42,333.979801,175145.68724,SYNTHETIC_BOOK_VALUE,2027-01-03
